team1,score1,team2,score2
Brother Rice,18.0,LWW,14.0
HP,13.0,Leyden,7.0
LWE,15.0,Metea,4.0
Maine South,13.0,Waubonsie,9.0
Mt Carmel,19.0,Latin,7.0
NC,12.0,Loyola,7.0
Palatine,10.0,STC,7.0
Shepard,11.0,R-B,10.0
Schaumburg,13.0,Deerfield,0.0
St Rita,10.0,Sandburg,7.0
Taft,9.0,Amundsen,5.0
Warren,7.0,Maine East,5.0
